地名,センター（center.csvを使わない場合は空白化）,もえるごみ,もえないごみ,資源ごみ,衣類・プラスチックごみ,金属・皮革ごみ
あ 青葉ヶ丘,,火 金,木1,水1 水3,木2 木4,木3
あ 青山町,,火 金,木1,水1 水3,木2 木4,木3
あ 赤神,,月 木,水2,水1 水3,水2 水4,水4
あ 赤崎町,,月 木,火1,水1 水3,火2 火4,火3
あ 旭町,,火 金,木1,水1 水3,木2 木4,木3
あ 浅生田,,火 金,水1,水1 水3,水1 水3,水3
あ 海士町,,月 木,火1,金1 金3,火2 火4,火3
あ 荒屋,,火 金,水1,水1 水3,水1 水3,水3
あ 粟蔵,,月 木,土1,水2 水4,金2 金4,土3
あ 安代原,,火 金,水1,水1 水3,水1 水3,水3
い 伊右エ門,,火 金,木1,水1 水3,木2 木4,木3
い 飯川谷,,月 木,水2,水1 水3,水2 水4,水4
い 五十洲,,火 金,水1,水1 水3,水1 水3,水3
い 池田,,月 木,水2,水1 水3,水2 水4,水4
い 池田新町,,月 木,水2,水1 水3,水2 水4,水4
い 石浦町,,月 木,火1,金1 金3,火2 火4,火3
い 石休場町,,火 金,水1,水2 水4,土1 土3,水3
い 市ノ坂,,火 金,水1,水2 水4,土1 土3,水3
い 市ノ瀬町,,火 金,水1,水2 水4,土1 土3,水3
い 稲舟町,,月 木,水2,火2 火4,金1 金3,水4
い 稲荷西,,月 木,火1,金1 金3,火2 火4,火3
い 稲荷東,,月 木,火1,金1 金3,火2 火4,火3
い 稲荷南,,月 木,火1,金1 金3,火2 火4,火3
い 井面,,月 木,土1,水2 水4,金2 金4,土3
い 井守上坂,,火 金,水1,水1 水3,水1 水3,水3
い 入山,,月 木,水2,水1 水3,水2 水4,水4
う 打越町,,火 金,水1,水2 水4,土1 土3,水3
う 内保,,火 金,水1,水1 水3,水1 水3,水3
う 内屋,,火 金,水1,水2 水4,土1 土3,水3
う 窕,,月 木,水2,水1 水3,水2 水4,水4
う 鵜入,,月 木,火1,水1 水3,火2 火4,火3
う 鵜山,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（大久保）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（大町）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（亀部田）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（尺ヶ池）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（正仏）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（濁池）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（菅の原）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（清太郎）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（清土）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（滝又）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（知気女）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（中尾）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（中屋）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（番頭屋）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（盤若地）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（日砂子）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（蛇喰）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（宮田）,,火 金,水1,水1 水3,水1 水3,水3
う 浦上（吉ヶ谷内）,,火 金,水1,水1 水3,水1 水3,水3
う 漆原,,火 金,水1,水2 水4,土1 土3,水3
う 上代,,月 木,水2,水1 水3,水2 水4,水4
う 上野台町,,月 木,水1,金2 金4,水2 水4,水3
え 駅前,,火 金,木1,水1 水3,木2 木4,木3
え 江崎,,月 木,水2,水1 水3,水2 水4,水4
お 小池町,,月 木,火1,水1 水3,火2 火4,火3
お 小石,,火 金,水1,水1 水3,水1 水3,水3
お 小伊勢町,,月 木,水1,金2 金4,水2 水4,水3
お 大釜,,月 木,水2,水1 水3,水2 水4,水4
お 大川,,月 木,土1,水2 水4,金2 金4,土3
お 大切,,月 木,水2,水1 水3,水2 水4,水4
お 大久保,,月 木,土1,水2 水4,金2 金4,土3
お 大倉住宅,,月 木,土1,水2 水4,金2 金4,土3
お 大沢町,,月 木,火1,水1 水3,火2 火4,火3
お 大滝,,火 金,水1,水1 水3,水1 水3,水3
お 大寺山,,月 木,土1,水2 水4,金2 金4,土3
お 大泊,,月 木,水2,水1 水3,水2 水4,水4
お 大野町,,月 木,水2,火2 火4,金1 金3,水4
お 大馬場,,火 金,木1,水1 水3,木2 木4,木3
お 大町,,火 金,木1,水1 水3,木2 木4,木3
お 御蔵,,火 金,木1,水1 水3,木2 木4,木3
お 桶戸,,月 木,土1,水2 水4,金2 金4,土3
お 小田屋町,,月 木,水2,火1 火3,金1 金3,水4
お 鬼屋,,火 金,水1,水1 水3,水1 水3,水3
お 大生,,月 木,水2,水1 水3,水2 水4,水4
か 鹿磯,,月 木,水2,水1 水3,水2 水4,水4
か 貝吹,,火 金,水1,水1 水3,水1 水3,水3
か 風原,,火 金,水1,水1 水3,水1 水3,水3
か 鍛冶屋,,月 木,水2,水1 水3,水2 水4,水4
か 春日町,,火 金,木1,水1 水3,木2 木4,木3
か 勝田,,月 木,水2,水1 水3,水2 水4,水4
か 金蔵,,月 木,土1,水2 水4,金2 金4,土3
か 釜屋谷,,月 木,火1,金1 金3,火2 火4,火3
か 上大沢町,,月 木,火1,水1 水3,火2 火4,火3
